[55.7904;49.2241]	line 534472 602
[55.8565;49.2557]	line 534394 603
[55.8122;49.4391]	line 583120 604
[55.8128;49.4425]	line 583128 605
[55.8095;49.4438]	line 583131 606
[55.8094;49.4429]	line 583117 607
[55.7532;49.4105]	line 583166 608
[55.725;49.4412]	line 583089 609
[55.725;49.4412]	line 583147 610
[55.7326;49.47]	line 583110 611
[55.7328;49.4717]	line 583103 612
[55.8097;49.4342]	line 583125 613
[55.8102;49.4376]	line 583127 614
[55.8108;49.441]	line 583119 615
[55.805;49.4455]	line 583165 616
[55.798;49.407]	line 583130 617
[55.798;49.407]	line 583144 618
[55.7998;49.4056]	line 583145 619
[55.8004;49.4013]	line 583142 620
[55.8719;49.2381]	line 534393 621
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
--
